CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2962504;DYNASPORT COUPS HLE MAS. 15ML DYNAR;Massage;13.51;15.90;-0.15;0.18
1059450;WOLF POLSBAND LEDER 20CM;Pols, hand en duim;2.13;2.37;-0.10;0.11
1044619;BOTA ORTHO DF 1100 SK N4;Knie;47.17;55.50;-0.15;0.18
2357457;CHONDROITINE SULF. BIOTICS COMP 90;Gewrichten;43.77;51.50;-0.15;0.18
1625342;BCAA FORTE CAPS 90 DEBA;Aminozuren;19.97;23.50;-0.15;0.18
609768;NAQI WARMING UP 1 LIPO-GEL 100ML;Massage;11.62;13.67;-0.15;0.18
2831667;ZIBOFOR POT TABL 60;Spierpijn;24.30;27.00;-0.10;0.11
2527646;ETIXX COENZYME Q10 100 + CARNITINE CAPS 30;Uithouding;18.39;22.99;-0.20;0.25
1059419;WOLF POLSBAND LEDER 14CM;Pols, hand en duim;2.13;2.37;-0.10;0.11
2307593;TRISPORTPHARMA OXI-VITAL TABL 60;Tonica;28.80;32.00;-0.10;0.11
3238672;PROMAGNOR CAPS 90X450MG;Spierkrampen;35.05;38.95;-0.10;0.11
2665487;MAGNESIUM MAGNUM MINERALS BE LIFE NF GEL 300;Magnesium;61.20;68.00;-0.10;0.11
2663623;FLEXOFYTOL CAPS 180;Spierpijn;46.66;54.90;-0.15;0.18
2381549;TRISPORTPHARMA VIT-ELITE TABL 60;Tonica;23.40;26.00;-0.10;0.11
2314250;B-MAGNUM TABL 90X450MG;Spierkrampen;29.65;32.95;-0.10;0.11
3277290;ARKOVITAL MAGNESIUM B6 BRUISTABL 21;Magnesium;7.86;9.25;-0.15;0.18
2158913;MCDAVID ELBOW BRACE ELASTIC BLACK XL 512;Elleboog;12.71;14.95;-0.15;0.18
1742030;AMINO 1000 CAPS 120 DEBA;Aminozuren;23.71;27.90;-0.15;0.18
86157;TENSOPLAST BAND. 4058 7,5CMX2,75M;Tape en windels;9.58;11.27;-0.15;0.18
1732635;ISOSTAR CITROEN POEDER 400G NF;Sportenergie;9.50;10.00;-0.05;0.05
