CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2900025;STESWEET STEVIA GUTT 50ML;Suikervervangers;6.35;7.47;-0.15;0.18
3290152;MEDSKIN REEP CHOCOLADE KARAMEL 5;Eiwitdieet-maaltijdvervangers;12.75;15.00;-0.15;0.18
2908564;ISOSOURCE STANDARD FIBRE SMARTFLEX 500ML 12139014;Vervangvoeding;4.46;4.69;-0.05;0.05
2931632;DELICAL CREME DESSERT HP-HC Z/LACT.CHOCOLA 4X125G;Lactosevrij;7.75;8.16;-0.05;0.05
3383452;4321 ULTRA DRAINEUR ZWARTE AALBES 2X280ML;Detox;30.34;35.70;-0.15;0.18
3041530;RENILON 7.5 KARAMEL FLES 4X125ML 570978;Vervangvoeding;12.28;12.93;-0.05;0.05
3131471;DELICAL CREME DESSERT LA FLORIDINE KOFFIE 4X125G;Vervangvoeding;7.75;8.16;-0.05;0.05
3130168;DELICAL FRUITDRINK MANGO-ABRIKOOS 4X200ML;Proteïnenrijk;7.75;8.16;-0.05;0.05
2764587;Lierac Bodyslim Conc.multi Action Pompfl 200ml;Cellulitis;36.12;42.50;-0.15;0.18
3254661;DELICAL CREME DESSERT HP-HC Z/SUIK. AARDBEI 4X125G;Lactosevrij;7.75;8.16;-0.05;0.05
2577260;NUTRINI MAX 7-12J PACK 500ML 65748;Sondevoeding;5.66;5.96;-0.05;0.05
1628684;FRESUBIN ORIGINAL EASYBAG 500ML 7577221;Sondevoeding;4.19;4.41;-0.05;0.05
2577369;NUTRINIDRINK VANILLE MULTI F. +12M FL 200ML 65585;Proteïnenrijk;2.34;2.46;-0.05;0.05
2344166;ERGYNUTRIL VANILLE PDR POT 300G;Eiwitdieet-maaltijdvervangers;20.31;23.90;-0.15;0.18
2612737;RESOURCE ENERGY DRINK AARDBEI-FRAMBOOS 4X200ML;Vervangvoeding;8.75;9.21;-0.05;0.05
2940096;BEAUTY SCIENCE PROTEINE SHAKE CHOCOLADE 700G;Eiwitdieet-maaltijdvervangers;29.75;35.00;-0.15;0.18
3179223;SOMATOLINE COSM.PROFESSIONAL SYSTEM;Cellulitis;75.65;89.00;-0.15;0.18
3274792;BARINUTRICS VITAMINE B12 IF FRAMBOOS KAUWTABL 90;Maagverkleining;16.99;19.99;-0.15;0.18
3131471;DELICAL CREME DESSERT LA FLORIDINE KOFFIE 4X125G;Proteïnenrijk;7.75;8.16;-0.05;0.05
3026499;CLINUTREN MIX GROENE GROENTEN NF ZAKJE 6X75G;Proteïnenrijk;10.12;10.65;-0.05;0.05
1559855;SORIA CITRIFIN COMP 60X950MG;Hongerstillers;12.54;14.75;-0.15;0.18
2491835;FORTIMEL JUCY AARDBEI CLUSTER 4X200ML 65462;Vervangvoeding;8.45;8.90;-0.05;0.05
3130176;DELICAL FRUITDRINK BLOEDSINAASAPPEL 4X200ML;Proteïnenrijk;7.75;8.16;-0.05;0.05
3195658;SPECIFIC WATERRETENTIE DUOPACK COMP 2X28;Vochtafdrijvers;26.31;30.95;-0.15;0.18
3283546;RAIN PHARMA RAINSHAKE CLASSIC BLISFUL BANANA 510G;Proteïnenrijk;33.96;39.95;-0.15;0.18
2730729;MODIFAST INTENSIVE SHAKER 1;Eiwitdieet-maaltijdvervangers;2.11;2.22;-0.05;0.05
1727387;ARKOVITAL CHROOM GEL 45X516MG;Suikerdrang;6.03;7.10;-0.15;0.18
2664555;RESOURCE FRUIT APPEL 4X200ML 12104019;Proteïnenrijk;7.33;7.72;-0.05;0.05
1652999;DUOCAL 400G;Vervangvoeding;27.08;28.51;-0.05;0.05
1723147;PKU2 MIX MILUPA PDR 400G;Vervangvoeding;85.50;90.00;-0.05;0.05
2648855;RESOURCE 2.0 FIBRE AARDBEI 4X200ML 12100527;Proteïnenrijk;11.44;12.04;-0.05;0.05
2891208;KINESLIM CHOCOLADEKOEKJES REEP 3X4;Eiwitdieet-maaltijdvervangers;8.46;9.95;-0.15;0.18
1683796;ARKOCAPS CITRUS AURANTIUM 45;Vetverbranders;8.41;9.90;-0.15;0.18
2447001;OLVARIT FRUIT BANAAN-APPEL MET KOEK 6M 2X200G;Glutenvrij;2.84;2.99;-0.05;0.05
3248945;FORTIMEL EXTRA MOKKA 4X200ML VERV.2401503;Proteïnenrijk;11.11;11.70;-0.05;0.05
2664522;RESOURCE FRUIT PEER-KERS 4X200ML 12104025;Vervangvoeding;7.33;7.72;-0.05;0.05
2648681;RESOURCE 2.0 FIBRE KOFFIE 4X200ML 12100790;Vezelrijk;11.44;12.04;-0.05;0.05
1333103;LYMPHOMYOSOT COMP 100 HEEL;Cellulitis;17.81;20.95;-0.15;0.18
3211638;FORTIMEL ENERGY BANAAN 4X200ML VERV.2320471;Proteïnenrijk;8.50;8.95;-0.05;0.05
2454502;L-CARNITINE 750 BE LIFE TABL 300;Vetverbranders;79.20;88.00;-0.10;0.11
3179223;SOMATOLINE COSM.PROFESSIONAL SYSTEM;Vetverbranders;75.65;89.00;-0.15;0.18
2695054;ORTIS VRUCHTEN & VEZELS BLOKJE 1X24;Moeilijke stoelgang;10.85;12.76;-0.15;0.18
2725018;ELIMIN TRANSIT TISANE TEA-BAGS 20;Moeilijke stoelgang;5.01;5.90;-0.15;0.18
3103694;DELICAL EFFIMAX 2.0 CARAMEL 4X200ML;Vervangvoeding;10.80;11.37;-0.05;0.05
3067568;KINESLIM BROCOLISOEP PDR 4X30G;Eiwitdieet-maaltijdvervangers;8.46;9.95;-0.15;0.18
227595;BI-AGLUT TOAST 240G 6192;Glutenvrij;4.81;5.35;-0.10;0.11
2552974;RESOURCE ENERGY FRUIT APPEL-PERZIK CUPS 3X125G;Vervangvoeding;7.05;7.42;-0.05;0.05
3380227;KOZZIX INTENSE STICKS 90;Vetblokkers;67.15;79.00;-0.15;0.18
1663590;SORIA FYTOFIN SIROP 500ML;Vochtafdrijvers;21.04;24.75;-0.15;0.18
2664530;RESOURCE FRUIT FRAMBOOS-CASSIS 4X200ML 12104102;Vervangvoeding;7.33;7.72;-0.05;0.05
3283629;RAIN PHARMA RAINSHAKE CLASSIC VANILLA ICECREAM510G;Eiwitdieet-maaltijdvervangers;33.96;39.95;-0.15;0.18
3292554;MEDSKIN PROTOBISCO ALMOND 10;Eiwitdieet-maaltijdvervangers;27.20;32.00;-0.15;0.18
1728195;SCHAR PASTA PIPETTE 500G 6582;Glutenvrij;2.65;2.79;-0.05;0.05
3047578;FORTIMEL COMPACT FIBRE AARDBEI 4X125ML;Proteïnenrijk;11.38;11.98;-0.05;0.05
3383478;4321 ULTRA DRAINEUR ACEROLA 2X280ML;Vochtafdrijvers;28.56;35.70;-0.15;0.25
2647444;ELIMIN KILO'S TEA BAGS 20;Vochtafdrijvers;5.01;5.90;-0.15;0.18
3130200;CRAVE & SATISFY DIEETPROTEINEN BANANA POT 200G;Eiwitdieet-maaltijdvervangers;17.95;19.95;-0.10;0.11
3096609;MENOPHYTEA PLATTE BUIK COMP 60;Vochtafdrijvers;26.95;29.95;-0.10;0.11
3274800;BARINUTRICS MULTI CITRUS KAUWTABL 30;Maagverkleining;16.99;19.99;-0.15;0.18
