CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
3092046;BIOTONA HEMP RAW HULLED SEED 300G;Superfoods en anti-aging;9.77;11.50;-0.15;0.18
3351434;ALTISA SOJA LECITHINE 1200MG SOFTGEL 150;Mentale klachten;13.23;15.57;-0.15;0.18
1222793;DYNADIUM COMP 60 DYNAR;Maag en darmen;10.11;11.90;-0.15;0.18
2600930;ELUSANES ARTISJOK POT GEL 60;Maag en darmen;14.36;16.90;-0.15;0.18
1624766;AUREVEN GEL ZWARE BENEN TUBE 80ML;Hart en bloedvaten;15.64;18.40;-0.15;0.18
2998771;BEE NATURE ZEEPBAR 100G;Huid, haren & nagels;7.64;8.99;-0.15;0.18
2205516;INOVANCE SERENITEIT COMP 60 CA108;Mentale klachten;18.00;20.00;-0.10;0.11
2908432;PURESSENTIEL BLOEDCIRCULATIE GEL ULTRA FRIS 125ML;Per klacht;18.19;21.40;-0.15;0.18
3007432;MANDARIJN BIO BLISTER CAPS 2X15 PRANAROM;Per klacht;9.55;11.24;-0.15;0.18
3431855;BIOLYS HONING WINTER POT 100G;Honing;10.96;12.90;-0.15;0.18
3180627;BACHBLOESEM BIO N08 CHICORY 20ML;Overbezorgdheid;9.31;10.95;-0.15;0.18
3295862;AXODETOX GEL FL 60;Zuiveringskuur;16.06;17.85;-0.10;0.11
2956282;KLAMAZOL ENERGETICA V-CAPS 90 VERV.2742088;Energiegebrek;35.55;41.82;-0.15;0.18
2753705;WELEDA TIJMSIROOP BIO 200ML;Winterkwalen en weerstand;9.34;10.99;-0.15;0.18
3067766;SAFRAZEN GEL 60;Mentale klachten;20.40;24.00;-0.15;0.18
429936;WELEDA HUIDOLIE CITRUS 100ML;Huid, haren & nagels;12.74;14.99;-0.15;0.18
3322831;BIOLYS AROMA+ VERKOUDHEDEN KRUIDENTHEE ZAKJE 20;Thees;5.44;6.80;-0.20;0.25
2105377;SPIRULINA COMP 1000X500MG DEBA;Energiegebrek;50.65;59.59;-0.15;0.18
2083020;BLACKCURRANT GRETHERS ZONDER SUIKER DRAG 60G;Winterkwalen en weerstand;5.57;6.55;-0.15;0.18
1457233;MENOLISTICA CAPS 60 HOLISTICA;Vrouwelijke problemen;21.38;25.15;-0.15;0.18
1339365;BIO-CAROTENOID COMPLEX CAPS 30 DEBA;Superfoods en anti-aging;18.61;21.90;-0.15;0.18
3052057;DR ERNST HEPATOTABS COMP 42;Maag en darmen;11.39;13.40;-0.15;0.18
2983310;BIO DEFENCE NF CAPS 60;Superfoods en anti-aging;26.10;29.00;-0.10;0.11
2670669;THERATOUX Z/SUIKER PAST 100G;Winterkwalen en weerstand;4.08;4.80;-0.15;0.18
3188240;CURCUDYN CAPS 180 19387 METAGENICS;Spieren en gewrichten;40.49;53.99;-0.25;0.33
1612563;SORIA SUPERGENIUS COMP 50X800MG;Mentale klachten;25.46;29.95;-0.15;0.18
2798437;MANDARIJN BIO ESS OLIE 30ML PRANAROM;Per klacht;22.13;26.04;-0.15;0.18
2116796;BIOLYS VENKEL-HIBISCUS BIO TEA-BAGS 20;Thees;3.98;4.98;-0.20;0.25
3214988;PRIMROSE 500 POT TABL 90 19748 METAGENICS;Vrouwelijke problemen;13.49;14.99;-0.10;0.11
3195716;POLICOCONCEPT CAPS 120;Hart en bloedvaten;17.00;20.00;-0.15;0.18
3180742;BACHBLOESEM BIO N18 IMPATIENS 20ML;Eenzaamheid;9.31;10.95;-0.15;0.18
382440;SEDINAL PLUS DRAG 100;Mentale klachten;18.32;21.55;-0.15;0.18
2667004;KNEIPP THEE KAMILLE ZAKJE 15;Mentale klachten;3.39;3.99;-0.15;0.18
2137370;BIOPAUSE COMP 180;Vrouwelijke problemen;22.09;25.99;-0.15;0.18
1386143;ARKOCAPS VALERIAAN PLANTAARDIG 150;Mentale klachten;22.82;26.85;-0.15;0.18
3180452;BACHBLOESEM BIO N33 WALNUT 20ML;Overgevoeligheid;9.31;10.95;-0.15;0.18
1480425;Spirulina Comp 250x400mg Deba;Huid, haren & nagels;14.41;16.95;-0.05;0.18
2423440;ALTISA TISANE LUCHTWEGEN 20X2G;Thees;4.06;4.27;-0.05;0.05
1663541;BIOTTA WORTELSAP 500ML;Superfoods en anti-aging;5.23;6.15;-0.15;0.18
2090827;MOSQUETAS GREEN CICABAUME 30ML;Huid, haren & nagels;16.57;19.50;-0.15;0.18
2342384;BIOLYS TIJM-EUCALYPTUS-HONING BIO TEA-BAGS 20;Winterkwalen en weerstand;3.98;4.98;-0.20;0.25
2666998;KNEIPP THEE WELTERUSTEN ZAKJE 15;Thees;3.39;3.99;-0.15;0.18
1383710;ARKOCAPS CHINESE THEE (CAMILINE)PLANTAARDIG 150;Afslanken;22.82;26.85;-0.15;0.18
1574268;MACA BIOTICS COMP 60;Mannelijke problemen;38.06;44.78;-0.15;0.18
3247541;ALLERPRILL CAPS 15;Allergie;12.71;14.95;-0.15;0.18
1343466;ARKOCAPS BRANDNETELWORTEL PLANTAARDIG 45;Mannelijke problemen;8.41;9.90;-0.15;0.18
2927002;PHYSALIS RELAX & SLEEP BIO TABL 45;Mentale klachten;13.41;14.90;-0.10;0.11
1342526;ARKOCAPS HEERMOES PLANTAARDIG 150;Urinewegen;22.82;26.85;-0.15;0.18
2229185;HERBALGEM BERGDEN MACERAAT 15ML;Ademhaling;10.16;11.95;-0.15;0.18
3164282;FIT-O-TRANS FORTE NUTRITIC COMP 30 6864;Maag en darmen;7.31;8.60;-0.15;0.18
1183755;ALTISA ECHINACEA 600MG COMPLEX WEERSTAND TABL 60;Winterkwalen en weerstand;17.94;22.42;-0.20;0.25
1107499;SORIA SORICAPSULE COMPOSED N26-C EUCALIPTON 60;Winterkwalen en weerstand;14.24;16.75;-0.15;0.18
2543502;PURESSENTIEL MASS.OLIE ARGAN ATLASCEDER BIO 100ML;Huid, haren & nagels;14.96;17.60;-0.15;0.18
2583532;BABYCALMINE DRINKBARE OPL 30% AMP 10X2ML;Maag en darmen;6.32;7.43;-0.15;0.18
2519866;FYTOBELL SOLIDOGO VIRGAUREA UE GUTT 100ML;Urinewegen;14.41;16.95;-0.15;0.18
2675247;ARKOCAPS MARIADISTEL PLANTAARDIG 150;Maag en darmen;22.82;26.85;-0.15;0.18
2229284;HERBALGEM ZILVERSPAR MACERAAT 15ML;Osteoporose;10.16;11.95;-0.15;0.18
2971034;BACHBLOESEM PASTILLES N39 NOODGEVALLEN 50G;Angst;5.99;7.05;-0.15;0.18
2903193;OLIGOPLANT ARTISJOK FL 125ML;Maag en darmen;17.57;19.52;-0.10;0.11
2229268;HERBALGEM HONDSROOS MACERAAT 15ML;Ademhaling;10.16;11.95;-0.15;0.18
2367977;HERBALGEM SINUGEM ADEMHALINGSWEG COMPLEX GUTT 15ML;Winterkwalen en weerstand;10.16;11.95;-0.15;0.18
2665149;CHLORELLA 500 BIO BE LIFE TABL 200;Huid, haren & nagels;20.61;22.90;-0.10;0.11
605709;VOGEL AVENA SATIVA CPLX GUTT 50ML;Mentale klachten;7.99;9.99;-0.20;0.25
3180486;BACHBLOESEM BIO N36 WILD OAT 20ML;Onzekerheid;9.31;10.95;-0.15;0.18
2837615;PURESSENTIEL EXPERT THEEBOOM BIO ESS OLIE 10ML;Per klacht;7.14;8.40;-0.15;0.18
2854479;PHYSALIS GLUCONEM TABL 30 P10320;Spieren en gewrichten;16.20;18.00;-0.10;0.11
2801025;WILDE TIJM ESS OLIE 5ML PRANAROM;Per klacht;6.82;8.02;-0.15;0.18
2325066;ORTIS RED ENERGY-G N1 10X15ML;Energiegebrek;12.32;14.50;-0.23;0.18
2876217;CRANAXIL CRANBERRYCONC.500MG SPRINGFIELD V-CAPS 60;Urinewegen;22.91;26.95;-0.15;0.18
2714632;PROBICRAN GEL 90 ORTHONAT;Urinewegen;39.01;45.90;-0.15;0.18
323311;DENOLIN BORSTTHEE NF 20 F.Z.;Thees;4.49;5.28;-0.15;0.18
1745165;VITAFYTEA ACEROLA VIT C 500 TABL 24;Winterkwalen en weerstand;7.22;8.50;-0.15;0.18
2939791;ARTERIN PLUS COMP 90 VERV.2762870;Hart en bloedvaten;26.91;34.50;-0.22;0.28
2842839;TANAPLEX DIGEST COMP 100;Mentale klachten;19.12;22.50;-0.15;0.18
1283878;FARMATINT FARMA BALSEM TARWEKIEM 200ML;Huid, haren & nagels;9.28;10.92;-0.15;0.18
3121548;PHYTOSUN EUC. RADIATA BIO 10ML;Per klacht;6.88;8.10;-0.15;0.18
3369683;DR ERNST DETOX TABS COMP 42;Zuiveringskuur;11.39;13.40;-0.15;0.18
3118908;PHYSALIS HAAR EN NAGELS NF COMP 45 VERV.2599033;Huid, haren & nagels;10.71;11.90;-0.10;0.11
3085529;BIOLYS GEMBER - CITROEN TEA-BAGS 20;Thees;3.98;4.98;-0.20;0.25
2543536;PURESSENTIEL MASS.OLIE ARNICA-BERGTHEE BIO 100ML;Per klacht;14.96;17.60;-0.15;0.18
2830214;SOMNIPURE TABL 40;Mentale klachten;16.79;19.75;-0.15;0.18
2567444;MEMOBOOST GINGKO BACOPA CAPS 30;Mentale klachten;11.64;13.70;-0.15;0.18
2855617;PURESSENTIEL VERSPREIDER MET ZACHTE WARMTE BLAUW;Verspreiders;38.25;45.00;-0.15;0.18
2578409;PRIMARINI KIDS 120ML;Winterkwalen en weerstand;12.61;14.84;-0.15;0.18
1496702;GINSENG FORTE COMP 50X500MG DEBA;Mentale klachten;19.46;22.90;-0.15;0.18
2200434;WELEDA BERKEN CELLULITIS OLIE 100ML;Huid, haren & nagels;14.87;17.49;-0.15;0.18
3319258;BACHBLOESEM BIO N47 DRUPPELS SLAAP 20ML;Mentale klachten;13.56;15.95;-0.15;0.18
1497056;PROPOLIS KEELSPRAY 30ML DEBA;Winterkwalen en weerstand;10.96;12.90;-0.15;0.18
3319282;BACHBLOESEM BIO N42 DRUPPELS ZELFVERTROUWEN 20ML;Onzekerheid;13.56;15.95;-0.15;0.18
3180502;BACHBLOESEM BIO N37 WILD ROSE 20ML;Desinteresse in nu;9.31;10.95;-0.15;0.18
2803096;PEPERMUNT ESS OLIE 30ML PRANAROM;Per klacht;19.37;22.79;-0.15;0.18
